Price Period,Town,Super,Diesel,Kerosene
15th February 2023 - 14th March 2023,Keroka,178.39,163.6,147.56
15th February 2023 - 14th March 2023,Busia,178.36,163.57,147.54
15th February 2023 - 14th March 2023,Homabay,178.31,163.52,147.48
15th February 2023 - 14th March 2023,Migori,179.17,164.37,148.34
15th February 2023 - 14th March 2023,Isebania,179.45,164.66,148.62
15th February 2023 - 14th March 2023,Bomet,178.61,163.82,147.78
15th February 2023 - 14th March 2023,Muhoroni,177.72,162.93,146.9
15th February 2023 - 14th March 2023,Mbita,178.3,163.5,147.47
15th February 2023 - 14th March 2023,Mbale,177.5,162.7,146.66
15th February 2023 - 14th March 2023,Etago,178.94,164.15,148.12
15th February 2023 - 14th March 2023,Magenche,179.05,164.26,148.22
15th February 2023 - 14th March 2023,Kilgoris,178.88,164.09,148.06
15th February 2023 - 14th March 2023,Malava,177.86,163.06,147.03
15th February 2023 - 14th March 2023,Lugari,178.25,163.45,147.42
15th February 2023 - 14th March 2023,Rodi Kopany,178.37,163.58,147.55
15th February 2023 - 14th March 2023,Ndhiwa,178.65,163.86,147.82
15th February 2023 - 14th March 2023,Rangwe,178.36,163.57,147.54
15th February 2023 - 14th March 2023,Sindo,178.37,163.58,147.55
15th February 2023 - 14th March 2023,Awasi,177.45,162.66,146.63
15th February 2023 - 14th March 2023,Ahero,177.5,162.7,146.66
15th February 2023 - 14th March 2023,Ugunja,177.93,163.13,147.1
15th February 2023 - 14th March 2023,Asembo,177.57,162.78,146.75
15th February 2023 - 14th March 2023,Usenge,178.06,163.26,147.22
15th February 2023 - 14th March 2023,Harambee,177.54,162.75,146.71
15th February 2023 - 14th March 2023,Muhuru Bay,179.31,164.52,148.48
15th February 2023 - 14th March 2023,Kehancha,179.54,164.75,148.71
15th February 2023 - 14th March 2023,Ntimaru,179.85,165.06,149.02
15th February 2023 - 14th March 2023,Rongo,178.62,163.83,147.8
15th February 2023 - 14th March 2023,Kaspokwony,178.59,163.8,147.75
15th February 2023 - 14th March 2023,Chwele,178.53,163.74,147.7
15th February 2023 - 14th March 2023,Kimilili,178.46,163.67,147.62
15th February 2023 - 14th March 2023,Nambale,178.36,163.57,147.54
15th February 2023 - 14th March 2023,SioPort,178.35,163.56,147.53
15th February 2023 - 14th March 2023,Port Bunyala,178.4,163.61,147.57
15th February 2023 - 14th March 2023,Funyula,178.22,163.43,147.4
15th February 2023 - 14th March 2023,Ogembo,178.53,163.74,147.7
15th February 2023 - 14th March 2023,Nyangusu,178.79,164.0,147.96
15th February 2023 - 14th March 2023,Sengera,178.72,163.92,147.88
15th February 2023 - 14th March 2023,Keumbu,178.44,163.64,147.61
15th February 2023 - 14th March 2023,Marani,178.14,163.35,147.31
15th February 2023 - 14th March 2023,Kerina,178.5,163.71,147.68
15th February 2023 - 14th March 2023,Ikonge,177.86,163.07,147.03
15th February 2023 - 14th March 2023,Nyansiongo,178.26,163.47,147.43
15th January 2023 -14th February 2023,Mombasa,174.98,159.76,143.69
15th January 2023 -14th February 2023,Kilifi,175.69,160.47,144.41
15th January 2023 -14th February 2023,Likoni Mainland,175.34,160.11,144.05
15th January 2023 -14th February 2023,Kwale,175.34,160.11,144.05
15th January 2023 -14th February 2023,Malindi,175.9,160.67,144.61
15th January 2023 -14th February 2023,Lungalunga,176.05,160.83,144.76
15th January 2023 -14th February 2023,Voi,176.46,161.24,145.17
15th January 2023 -14th February 2023,Taveta,177.86,162.64,146.58
15th January 2023 -14th February 2023,Lamu,178.27,163.06,147.0
15th January 2023 -14th February 2023,Hola,178.57,163.34,147.28
15th January 2023 -14th February 2023,Mpeketoni,178.27,163.06,147.0
15th January 2023 -14th February 2023,Minjila,177.25,162.02,145.96
15th January 2023 -14th February 2023,Garsen,177.33,162.11,146.05
15th January 2023 -14th February 2023,Samburu,175.28,160.06,144.0
15th January 2023 -14th February 2023,Taru,175.46,160.24,144.18
15th January 2023 -14th February 2023,Mwatate,176.79,161.57,145.51
15th January 2023 -14th February 2023,Wundanji,176.96,161.74,145.68
15th January 2023 -14th February 2023,Kaloleni,175.13,159.92,143.85
15th January 2023 -14th February 2023,Marereni,176.56,161.34,145.27
15th January 2023 -14th February 2023,Nairobi,177.3,162.0,145.94
15th January 2023 -14th February 2023,Thika,177.31,162.01,145.94
15th January 2023 -14th February 2023,Machakos,177.54,162.24,146.18
15th January 2023 -14th February 2023,Kajiado,177.72,162.42,146.36
15th January 2023 -14th February 2023,Makuyu,177.59,162.29,146.23
15th January 2023 -14th February 2023,Muranga,177.82,162.52,146.46
15th January 2023 -14th February 2023,Sagana,178.05,162.75,146.68
15th January 2023 -14th February 2023,Embu,178.4,163.1,147.04
15th January 2023 -14th February 2023,Kerugoya,178.33,163.03,146.97
15th January 2023 -14th February 2023,Narok,178.69,163.4,147.33
15th January 2023 -14th February 2023,Nyeri,178.67,163.37,147.31
15th January 2023 -14th February 2023,Namanga,178.85,163.55,147.48
15th January 2023 -14th February 2023,Kiganjo,178.64,163.34,147.28
15th January 2023 -14th February 2023,Chuka,178.93,163.63,147.57
15th January 2023 -14th February 2023,Kitui,178.84,163.54,147.47
15th January 2023 -14th February 2023,Mwingi,179.22,163.93,147.86
15th January 2023 -14th February 2023,Nanyuki,179.23,163.94,147.87
15th January 2023 -14th February 2023,Nkubu,180.21,164.91,148.84
15th January 2023 -14th February 2023,Mtito Andei,179.74,164.44,148.38
15th January 2023 -14th February 2023,Meru,180.4,165.1,149.04
15th January 2023 -14th February 2023,Isiolo,180.26,164.96,148.89
15th January 2023 -14th February 2023,Maua,180.85,165.56,149.49
15th January 2023 -14th February 2023,Garissa,181.47,166.17,150.11
15th January 2023 -14th February 2023,Marsabit,185.15,169.85,153.79
15th January 2023 -14th February 2023,Liboi,184.24,168.94,152.87
15th January 2023 -14th February 2023,Moyale,186.74,171.44,155.37
15th January 2023 -14th February 2023,Sololo,185.79,170.49,154.43
15th January 2023 -14th February 2023,Habaswein,184.16,168.86,152.8
15th January 2023 -14th February 2023,Dadaab,182.85,167.55,151.49
15th January 2023 -14th February 2023,Tarbaj,186.42,171.12,155.04
15th January 2023 -14th February 2023,Elwak,188.02,172.72,156.65
15th January 2023 -14th February 2023,Wajir,186.57,171.27,155.21
15th January 2023 -14th February 2023,Modogashe,184.3,169.0,152.94
15th January 2023 -14th February 2023,Mandera,190.35,175.05,158.98
15th January 2023 -14th February 2023,Matuu,178.2,162.9,146.84
15th January 2023 -14th February 2023,Merti,182.65,167.35,151.29
15th January 2023 -14th February 2023,Oldonyiro,179.67,164.36,148.29
15th January 2023 -14th February 2023,Eldas,188.34,173.04,156.98
15th January 2023 -14th February 2023,Bute,185.38,170.08,154.02
15th January 2023 -14th February 2023,Hadado,183.97,168.67,152.6
15th January 2023 -14th February 2023,Mai Mahiu,177.42,162.12,146.06
15th January 2023 -14th February 2023,Doldo,180.0,164.7,148.63
15th January 2023 -14th February 2023,Lamuria,179.12,163.82,147.75
15th January 2023 -14th February 2023,Sipili,179.98,164.68,148.62
15th January 2023 -14th February 2023,Marimanti,179.61,164.31,148.25
15th January 2023 -14th February 2023,Mutuobare,178.95,163.65,147.58
15th January 2023 -14th February 2023,North Horr,186.11,170.82,154.75
15th January 2023 -14th February 2023,Maikona,184.73,169.43,153.37
15th January 2023 -14th February 2023,Kalacha,185.27,169.97,153.91
15th January 2023 -14th February 2023,Loyangalani,185.34,170.04,153.97
15th January 2023 -14th February 2023,Turbi,185.14,169.84,153.78
15th January 2023 -14th February 2023,Laisamis,182.36,167.06,150.98
15th January 2023 -14th February 2023,Merille,182.05,166.75,150.69
15th January 2023 -14th February 2023,Korr,183.3,168.0,151.93
15th January 2023 -14th February 2023,Nakuru,176.62,161.83,145.79
15th January 2023 -14th February 2023,Gilgil,176.58,161.79,145.76
15th January 2023 -14th February 2023,Mogotio,176.57,161.78,145.74
15th January 2023 -14th February 2023,Molo,176.65,161.86,145.83
15th January 2023 -14th February 2023,Olenguruone,177.36,162.56,146.53
15th January 2023 -14th February 2023,Londiani,176.88,162.09,146.05
15th January 2023 -14th February 2023,Nyahururu,176.87,162.08,146.04
15th January 2023 -14th February 2023,Archers Post,179.85,165.06,149.03
15th January 2023 -14th February 2023,Lodosoit,180.95,166.16,150.13
15th January 2023 -14th February 2023,Naivasha,176.95,162.15,146.11
15th January 2023 -14th February 2023,Marigat,177.34,162.55,146.51
15th January 2023 -14th February 2023,Kabarnet ,177.83,163.04,147.01
15th January 2023 -14th February 2023,Maralal,178.92,164.13,148.1
15th January 2023 -14th February 2023,Wamba,179.76,164.97,148.93
15th January 2023 -14th February 2023,Rumuruti,177.41,162.62,146.58
15th January 2023 -14th February 2023,Eldoret,177.5,162.72,146.67
15th January 2023 -14th February 2023,Kiplombe,177.5,162.72,146.67
15th January 2023 -14th February 2023,Iten,177.5,162.72,146.67
15th January 2023 -14th February 2023,Naiberi,177.5,162.72,146.67
15th January 2023 -14th February 2023,Kesses,177.5,162.72,146.67
15th January 2023 -14th February 2023,Kapsabet,177.52,162.74,146.68
15th January 2023 -14th February 2023,Webuye,177.93,163.15,147.1
15th January 2023 -14th February 2023,Kitale,177.86,163.08,147.03
15th January 2023 -14th February 2023,Kapenguria ,178.5,163.72,147.67
15th January 2023 -14th February 2023,Bungoma,178.26,163.48,147.44
15th January 2023 -14th February 2023,Moiben,177.52,162.74,146.68
15th January 2023 -14th February 2023,Matunda,177.49,162.7,146.66
15th January 2023 -14th February 2023,Burnt Forest,177.45,162.67,146.62
15th January 2023 -14th February 2023,Tambach,177.54,162.76,146.71
15th January 2023 -14th February 2023,Kapsowar,178.0,163.22,147.18
15th January 2023 -14th February 2023,Chebara,177.89,163.1,147.06
15th January 2023 -14th February 2023,Kimwarer,177.81,163.03,146.99
15th January 2023 -14th February 2023,Timboroa,177.73,162.95,146.9
15th January 2023 -14th February 2023,Nandi Hills,177.69,162.91,146.87
15th January 2023 -14th February 2023,Kaiboi,177.55,162.77,146.73
15th January 2023 -14th February 2023,Kiminini,178.05,163.27,147.21
15th January 2023 -14th February 2023,Endebes,178.39,163.61,147.57
15th January 2023 -14th February 2023,Saboti,178.07,163.29,147.25
15th January 2023 -14th February 2023,Chepareria,178.71,163.93,147.87
15th January 2023 -14th February 2023,Lomut,180.33,165.53,149.49
15th January 2023 -14th February 2023,Burgich,179.12,164.34,148.29
15th January 2023 -14th February 2023,Sigor,179.25,164.47,148.42
15th January 2023 -14th February 2023,Lodwar,181.68,166.9,150.85
15th January 2023 -14th February 2023,Kakuma,183.27,168.49,152.44
15th January 2023 -14th February 2023,Lokichar,180.68,165.9,149.85
15th January 2023 -14th February 2023,Kalokol,182.44,167.66,151.61
15th January 2023 -14th February 2023,Lokori,181.05,166.27,150.22
15th January 2023 -14th February 2023,Lokitaung,185.33,170.55,154.49
15th January 2023 -14th February 2023,Kapedo,180.33,165.53,149.49
15th January 2023 -14th February 2023,Malaba,178.66,163.88,147.84
15th January 2023 -14th February 2023,Lokichogio,184.46,169.68,153.63
15th January 2023 -14th February 2023,Ziwa,177.69,162.91,146.87
15th January 2023 -14th February 2023,Soy,177.51,162.72,146.67
15th January 2023 -14th February 2023,Moi's Bridge,177.57,162.78,146.74
15th January 2023 -14th February 2023,Turbo,177.45,162.67,146.62
15th January 2023 -14th February 2023,Kibish,185.56,170.77,154.73
15th January 2023 -14th February 2023,Nakalale,184.39,169.6,153.55
15th January 2023 -14th February 2023,Loima,180.8,166.02,149.97
15th January 2023 -14th February 2023,Lokiriama,182.37,167.59,151.53
15th January 2023 -14th February 2023,Kainuk,179.57,164.79,148.74
15th January 2023 -14th February 2023,Kacheliba,178.9,164.12,148.07
15th January 2023 -14th February 2023,Kiwawa,179.5,164.72,148.68
15th January 2023 -14th February 2023,Ortum,179.09,164.31,148.26
15th January 2023 -14th February 2023,Kachibora,177.89,163.1,147.06
15th January 2023 -14th February 2023,Kwanza,178.6,163.82,147.78
15th January 2023 -14th February 2023,Kaplamai,177.92,163.14,147.08
15th January 2023 -14th February 2023,Eldama Ravine,178.33,163.55,147.51
15th January 2023 -14th February 2023,Tenges,178.47,163.69,147.65
15th January 2023 -14th February 2023,Barwessa,178.59,163.81,147.75
15th January 2023 -14th February 2023,Kipsaraman,179.49,164.71,148.66
15th January 2023 -14th February 2023,Loruk,179.36,164.58,148.53
15th January 2023 -14th February 2023,Kabartonjo,178.33,163.55,147.51
15th January 2023 -14th February 2023,Tindiret,178.39,163.61,147.57
15th January 2023 -14th February 2023,O'lessos,177.57,162.78,146.74
15th January 2023 -14th February 2023,Kobujoi,177.97,163.19,147.14
15th January 2023 -14th February 2023,Serem,178.05,163.27,147.21
15th January 2023 -14th February 2023,Kabiyet,177.51,162.72,146.67
15th January 2023 -14th February 2023,Cheptulu,177.93,163.15,147.1
15th January 2023 -14th February 2023,Songor,178.47,163.69,147.65
15th January 2023 -14th February 2023,Kapcherop,178.11,163.33,147.28
15th January 2023 -14th February 2023,Sambalat,178.79,164.01,147.97
15th January 2023 -14th February 2023,Arror,178.45,163.67,147.61
15th January 2023 -14th February 2023,Tot,178.65,163.87,147.82
15th January 2023 -14th February 2023,Kaptarakwa,177.69,162.91,146.87
15th January 2023 -14th February 2023,Kapese,180.65,165.86,149.82
15th January 2023 -14th February 2023,Kalemngorok,180.03,165.25,149.21
15th January 2023 -14th February 2023,Marich,179.02,164.24,148.19
15th January 2023 -14th February 2023,Alale,179.5,164.72,148.68
15th January 2023 -14th February 2023,Kunyao,179.17,164.39,148.34
15th January 2023 -14th February 2023,Asilong,178.76,163.98,147.93
15th January 2023 -14th February 2023,Orolwo,178.79,164.01,147.97
15th January 2023 -14th February 2023,Sebit,178.74,163.96,147.92
15th January 2023 -14th February 2023,Morpus,178.65,163.87,147.82
15th January 2023 -14th February 2023,Chepkorniswo,178.53,163.75,147.71
15th January 2023 -14th February 2023,Kaibichbich,178.49,163.7,147.66
15th January 2023 -14th February 2023,Keringet,178.21,163.43,147.39
15th January 2023 -14th February 2023,Kisumu,177.5,162.7,146.66
15th January 2023 -14th February 2023,Sondu,177.59,162.8,146.77
15th January 2023 -14th February 2023,Oyugis,178.08,163.29,147.25
15th January 2023 -14th February 2023,Kakamega,177.54,162.75,146.72
15th January 2023 -14th February 2023,Mumias,177.82,163.03,146.99
15th January 2023 -14th February 2023,Bondo,177.7,162.91,146.88
15th January 2023 -14th February 2023,Siaya,177.83,163.04,147.0
15th January 2023 -14th February 2023,Kericho,178.0,163.21,147.17
15th January 2023 -14th February 2023,Nyamira,178.07,163.28,147.24
15th January 2023 -14th February 2023,Kisii,178.37,163.58,147.55
15th January 2023 -14th February 2023,Sotik,178.21,163.42,147.38
15th January 2023 -14th February 2023,Keroka,178.39,163.6,147.56
15th January 2023 -14th February 2023,Busia,178.36,163.57,147.54
15th January 2023 -14th February 2023,Homabay,178.31,163.52,147.48
15th January 2023 -14th February 2023,Migori,179.17,164.37,148.34
15th January 2023 -14th February 2023,Isebania,179.45,164.66,148.62
15th January 2023 -14th February 2023,Bomet,178.61,163.82,147.78
15th January 2023 -14th February 2023,Muhoroni,177.72,162.93,146.9
15th January 2023 -14th February 2023,Mbita,178.3,163.5,147.47
15th January 2023 -14th February 2023,Mbale,177.5,162.7,146.66
15th January 2023 -14th February 2023,Etago,178.94,164.15,148.12
15th January 2023 -14th February 2023,Magenche,179.05,164.26,148.22
15th January 2023 -14th February 2023,Kilgoris,178.88,164.09,148.06
15th January 2023 -14th February 2023,Malava,177.86,163.06,147.03
15th January 2023 -14th February 2023,Lugari,178.25,163.45,147.42
15th January 2023 -14th February 2023,Rodi Kopany,178.37,163.58,147.55
15th January 2023 -14th February 2023,Ndhiwa,178.65,163.86,147.82
15th January 2023 -14th February 2023,Rangwe,178.36,163.57,147.54
15th January 2023 -14th February 2023,Sindo,178.37,163.58,147.55
15th January 2023 -14th February 2023,Awasi,177.45,162.66,146.63
15th January 2023 -14th February 2023,Ahero,177.5,162.7,146.66
15th January 2023 -14th February 2023,Ugunja,177.93,163.13,147.1
15th January 2023 -14th February 2023,Asembo,177.57,162.78,146.75
15th January 2023 -14th February 2023,Usenge,178.06,163.26,147.22
15th January 2023 -14th February 2023,Harambee,177.54,162.75,146.71
15th January 2023 -14th February 2023,Muhuru Bay,179.31,164.52,148.48
15th January 2023 -14th February 2023,Kehancha,179.54,164.75,148.71
15th January 2023 -14th February 2023,Ntimaru,179.85,165.06,149.02
15th January 2023 -14th February 2023,Rongo,178.62,163.83,147.8
15th January 2023 -14th February 2023,Kaspokwony,178.59,163.8,147.75
15th January 2023 -14th February 2023,Chwele,178.53,163.74,147.7
15th January 2023 -14th February 2023,Kimilili,178.46,163.67,147.62
15th January 2023 -14th February 2023,Nambale,178.36,163.57,147.54
15th January 2023 -14th February 2023,SioPort,178.35,163.56,147.53
15th January 2023 -14th February 2023,Port Bunyala,178.4,163.61,147.57
15th January 2023 -14th February 2023,Funyula,178.22,163.43,147.4
15th January 2023 -14th February 2023,Ogembo,178.53,163.74,147.7
15th January 2023 -14th February 2023,Nyangusu,178.79,164.0,147.96
15th January 2023 -14th February 2023,Sengera,178.72,163.92,147.88
15th January 2023 -14th February 2023,Keumbu,178.44,163.64,147.61
15th January 2023 -14th February 2023,Marani,178.14,163.35,147.31
15th January 2023 -14th February 2023,Kerina,178.5,163.71,147.68
15th January 2023 -14th February 2023,Ikonge,177.86,163.07,147.03
15th January 2023 -14th February 2023,Nyansiongo,178.26,163.47,147.43
July 15th 2023 - August 14th 2023,Mombasa,191.62363663934664,176.62809465783778,166.43257515391258
July 15th 2023 - August 14th 2023,Kilifi,192.39355846527945,177.3980164837706,167.1924969798454
July 15th 2023 - August 14th 2023,Likoni Mainland,192.0036366393466,177.01809465783776,166.81257515391255
July 15th 2023 - August 14th 2023,Kwale,192.0036366393466,177.01809465783776,166.81257515391255
July 15th 2023 - August 14th 2023,Malindi,192.61516066591076,177.6196186844019,167.4140991804767
July 15th 2023 - August 14th 2023,Lungalunga,192.77355846527945,177.77801648377059,167.57249697984537
July 15th 2023 - August 14th 2023,Voi,193.2100915801074,178.21454959859852,168.00903009467334
July 15th 2023 - August 14th 2023,Taveta,194.72538157190814,179.72983959039928,169.5243200864741
July 15th 2023 - August 14th 2023,Lamu,195.16858597317076,180.1730439916619,169.9675244877367
July 15th 2023 - August 14th 2023,Hola,195.47203899903883,180.47649701752994,170.28097751360477
July 15th 2023 - August 14th 2023,Mpeketoni,195.16858597317076,180.1730439916619,169.9675244877367
July 15th 2023 - August 14th 2023,Minjila,194.06057497001424,179.06503298850535,168.85951348458016
July 15th 2023 - August 14th 2023,Garsen,194.15440093279045,179.1588589512816,168.9533394473564
July 15th 2023 - August 14th 2023,Samburu,191.95035406401684,176.95481208250797,166.74929257858278
July 15th 2023 - August 14th 2023,Taru,192.13800598956925,177.1424640080604,166.9469445041352
July 15th 2023 - August 14th 2023,Mwatate,193.57144515613325,178.5759031746244,168.3703836706992
July 15th 2023 - August 14th 2023,Wundanji,193.7471219441462,178.7615799626373,168.55606045871212
July 15th 2023 - August 14th 2023,Kaloleni,191.7886275510828,176.80308556957397,166.59756606564875
July 15th 2023 - August 14th 2023,Marereni,193.31589268042305,178.33035069891417,168.12483119498899
July 15th 2023 - August 14th 2023,Nairobi,194.68197352979774,179.6673895038655,169.48307232165826
July 15th 2023 - August 14th 2023,Thika,194.68326279106046,179.6686787651282,169.48436158292097
July 15th 2023 - August 14th 2023,Machakos,194.9388152667707,179.92423124083842,169.72991405863118
July 15th 2023 - August 14th 2023,Kajiado,195.12646719232308,180.1118831663908,169.9275659841836
July 15th 2023 - August 14th 2023,Makuyu,194.9967158169285,179.97213179099623,169.787814608789
July 15th 2023 - August 14th 2023,Muranga,195.24226829263873,180.2276842667065,170.03336708449922
July 15th 2023 - August 14th 2023,Sagana,195.4758456308095,180.46126160487722,170.27694442267
July 15th 2023 - August 14th 2023,Embu,195.87114948191427,180.85656545598198,170.66224827377476
July 15th 2023 - August 14th 2023,Kerugoya,195.77929865667753,180.7647146307453,170.58039744853804
July 15th 2023 - August 14th 2023,Narok,196.1746025077823,181.16001848185005,170.96570129964283
July 15th 2023 - August 14th 2023,Nyeri,196.16262737024286,181.14804334431062,170.95372616210335
July 15th 2023 - August 14th 2023,Namanga,196.33830415825577,181.3237201323235,171.1294029501163
July 15th 2023 - August 14th 2023,Kiganjo,196.11670195762449,181.10211793169222,170.90780074948498
July 15th 2023 - August 14th 2023,Chuka,196.432130121032,181.41754609509977,171.2332289128925
July 15th 2023 - August 14th 2023,Kitui,196.32632902071634,181.31174499478408,171.11742781257684
July 15th 2023 - August 14th 2023,Mwingi,196.74558314690006,181.7309991209678,171.53668193876052
July 15th 2023 - August 14th 2023,Nanyuki,196.75755828443948,181.74297425850722,171.5486570763
July 15th 2023 - August 14th 2023,Nkubu,197.79569359989873,182.78110957396646,172.59679239175924
July 15th 2023 - August 14th 2023,Mtito Andei,197.2945886484783,182.28000462254602,172.09568744033882
July 15th 2023 - August 14th 2023,Meru,198.00532066299058,182.99073663705832,172.7964194548511
July 15th 2023 - August 14th 2023,Isiolo,197.85359415005655,182.83901012412431,172.64469294191707
July 15th 2023 - August 14th 2023,Maua,198.49445047687155,183.4798664509393,173.28554926873207
July 15th 2023 - August 14th 2023,Garissa,199.15925707876548,184.1446730528332,173.950355870626
July 15th 2023 - August 14th 2023,Marsabit,203.1221712775106,188.1075872515783,177.9132700693711
July 15th 2023 - August 14th 2023,Liboi,202.13193651220917,187.1173524862769,176.92303530406969
July 15th 2023 - August 14th 2023,Moyale,204.81313805732427,189.79855403139203,179.6042368491848
July 15th 2023 - August 14th 2023,Sololo,203.79895301694393,188.7843689910117,178.59005180880445
July 15th 2023 - August 14th 2023,Habaswein,202.05008568697244,187.0355016610402,176.84118447883293
July 15th 2023 - August 14th 2023,Dadaab,200.65059679548733,185.62601276955505,175.44169558734782
July 15th 2023 - August 14th 2023,Tarbaj,204.46375961883786,189.4491755929056,179.26485841069837
July 15th 2023 - August 14th 2023,Elwak,206.18867667373047,191.1740926477982,180.979775465591
July 15th 2023 - August 14th 2023,Wajir,204.63746126931133,189.61287724337907,179.42856006117185
July 15th 2023 - August 14th 2023,Modogashe,202.20181219990644,187.18722817397418,176.99291099176696
July 15th 2023 - August 14th 2023,Mandera,208.68420143083264,193.66961740490038,183.48530022269316
July 15th 2023 - August 14th 2023,Matuu,195.64954728128296,180.6249632553507,170.44064607314345
July 15th 2023 - August 14th 2023,Merti,200.41899459485603,185.40441056892377,175.22009338671654
July 15th 2023 - August 14th 2023,Oldonyiro,197.21273782324155,182.19815379730932,172.01383661510206
July 15th 2023 - August 14th 2023,Eldas,206.53805511221688,191.52347108628464,181.3291539040774
July 15th 2023 - August 14th 2023,Bute,203.35574861568136,188.34116458974907,178.14684740754186
July 15th 2023 - August 14th 2023,Hadado,201.84045862388058,186.82587459794834,176.6315574157411
July 15th 2023 - August 14th 2023,Mai Mahiu,194.8110390289156,179.79645500298335,169.60213782077608
July 15th 2023 - August 14th 2023,Doldo,197.57409139926742,182.55950737333518,172.37519019112793
July 15th 2023 - August 14th 2023,Lamuria,196.62978204658438,181.61519802065214,171.42088083844487
July 15th 2023 - August 14th 2023,Sipili,197.56211626172797,182.5475322357957,172.35321505358849
July 15th 2023 - August 14th 2023,Marimanti,197.15483727308373,182.14025324715146,171.95593606494424
July 15th 2023 - August 14th 2023,Mutuobare,196.45410525857145,181.43952123263918,171.24520405043197
July 15th 2023 - August 14th 2023,North Horr,204.14833145543037,189.13374742949813,178.9394302472909
July 15th 2023 - August 14th 2023,Maikona,202.6569917387085,187.64240771277628,177.45809053056902
July 15th 2023 - August 14th 2023,Kalacha,203.23994751536569,188.22536348943342,178.0410463072262
July 15th 2023 - August 14th 2023,Loyangalani,203.30982320306296,188.2952391771307,178.11092199492347
July 15th 2023 - August 14th 2023,Turbi,203.1001961399711,188.08561211403884,177.90129493183161
July 15th 2023 - August 14th 2023,Laisamis,200.1035664314485,185.08898240551625,174.89466522330903
July 15th 2023 - August 14th 2023,Merille,199.78813826804102,184.7735542421088,174.57923705990152
July 15th 2023 - August 14th 2023,Korr,201.11775147182885,186.1031674458966,175.90885026368935
July 15th 2023 - August 14th 2023,Nakuru,193.76810138728231,179.13891269674076,168.98670822192074
July 15th 2023 - August 14th 2023,Gilgil,193.7222677221727,179.09307903163113,168.94087455681114
July 15th 2023 - August 14th 2023,Mogotio,193.7114900983872,179.08230140784562,168.93009693302562
July 15th 2023 - August 14th 2023,Molo,193.8029210336555,179.17373234311395,169.02152786829393
July 15th 2023 - August 14th 2023,Olenguruone,194.56197348829406,179.93278479775248,169.78058032293245
July 15th 2023 - August 14th 2023,Londiani,194.0376958855802,179.41850719503864,169.26630272021862
July 15th 2023 - August 14th 2023,Nyahururu,194.02691826179466,179.40772957125313,169.2455250964331
July 15th 2023 - August 14th 2023,Archers Post,197.2431750334092,182.6139863428676,172.46178186804758
July 15th 2023 - August 14th 2023,Lodosoit,198.42106172426298,183.7918730337214,173.63966855890138
July 15th 2023 - August 14th 2023,Naivasha,194.10876908703145,179.48958039648988,169.3373759216699
July 15th 2023 - August 14th 2023,Marigat,194.53999835075456,179.92080966021302,169.76860518539303
July 15th 2023 - August 14th 2023,Kabarnet ,195.07505357725395,180.4458648867124,170.29366041189238
July 15th 2023 - August 14th 2023,Maralal,196.24096513056827,181.61177644002674,171.45957196520672
July 15th 2023 - August 14th 2023,Wamba,197.13934907063293,182.5101603800914,172.35795590527138
July 15th 2023 - August 14th 2023,Rumuruti,194.6110715522058,179.99188286166424,169.83967838684424
July 15th 2023 - August 14th 2023,Eldoret,194.5264013872823,179.89103269674075,169.74500822192073
July 15th 2023 - August 14th 2023,Kiplombe,194.5264013872823,179.89103269674075,169.74500822192073
July 15th 2023 - August 14th 2023,Iten,194.5264013872823,179.89103269674075,169.74500822192073
July 15th 2023 - August 14th 2023,Naiberi,194.5264013872823,179.89103269674075,169.74500822192073
July 15th 2023 - August 14th 2023,Kesses,194.5264013872823,179.89103269674075,169.74500822192073
July 15th 2023 - August 14th 2023,Kapsabet,194.53966578608447,179.9142970955429,169.76827262072288
July 15th 2023 - August 14th 2023,Webuye,194.9828701873471,180.35750149680553,170.2114770219855
July 15th 2023 - August 14th 2023,Kitale,194.9229944996498,180.28762580910825,170.14160133428823
July 15th 2023 - August 14th 2023,Kapenguria ,195.59977623908318,180.96440754854163,170.8183830737216
July 15th 2023 - August 14th 2023,Bungoma,195.34422376337298,180.71885507283145,170.5728305980114
July 15th 2023 - August 14th 2023,Moiben,194.53966578608447,179.9142970955429,169.76827262072288
July 15th 2023 - August 14th 2023,Matunda,194.51571551100557,179.880346820464,169.734322345644
July 15th 2023 - August 14th 2023,Burnt Forest,194.4697900983872,179.84442140784563,169.6983969330256
July 15th 2023 - August 14th 2023,Tambach,194.57361606116342,179.93824737062187,169.79222289580184
July 15th 2023 - August 14th 2023,Kapsowar,195.07472101258384,180.43935232204228,170.29332784722226
July 15th 2023 - August 14th 2023,Chebara,194.9469447747287,180.31157608418715,170.16555160936713
July 15th 2023 - August 14th 2023,Kimwarer,194.86509394949198,180.22972525895045,170.0837007841304
July 15th 2023 - August 14th 2023,Timboroa,194.78324312425525,180.14787443371367,170.00184995889364
July 15th 2023 - August 14th 2023,Nandi Hills,194.73731771163688,180.10194902109535,169.9559245462753
July 15th 2023 - August 14th 2023,Kaiboi,194.58559119870287,179.9502225081613,169.80419803334127
July 15th 2023 - August 14th 2023,Kiminini,195.11064642520222,180.47527773466066,170.32925325984064
July 15th 2023 - August 14th 2023,Endebes,195.48397513876753,180.85860644822594,170.71258197340595
July 15th 2023 - August 14th 2023,Saboti,195.1445967002811,180.5092280097396,170.36320353491953
July 15th 2023 - August 14th 2023,Chepareria,195.8213784397145,181.18600974917297,171.03998527435292
